"TOA5","BACs","CR1000","E8076","CR1000.Std.32.07","CPU:bacs_CC1.CR1","10937","sensors"
"TIMESTAMP","RECORD","BattV_Min","PTemp_C","VWC(1)","VWC(2)","VWC(3)","TC(1)","TC(2)","TC(3)","TC(4)"
"TS","RN","Volts","Deg C","m3/m3","m3/m3","m3/m3","Deg C","Deg C","Deg C","Deg C"
"","","Min","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2025-02-28 16:00:00",0,12.16,20.31,-0.4,-0.4,-0.4,19.37,"NAN","NAN","NAN"
"2025-02-28 16:15:00",1,12.16,20.61,-0.4,-0.4,-0.4,22.32,"NAN","NAN","NAN"
"2025-02-28 16:30:00",2,12.16,20.74,-0.4,-0.4,-0.4,20.54,"NAN","NAN","NAN"
"2025-02-28 16:45:00",3,12.16,20.85,-0.4,-0.4,-0.4,19.69,"NAN","NAN","NAN"
"2025-02-28 17:00:00",4,12.16,20.93,0,-812,-464.5,21.02,"NAN","NAN","NAN"
"2025-03-03 10:45:00",5,12.86,20.4,182.7,-650.9,-206,18.3,"NAN","NAN","NAN"
"2025-03-03 11:00:00",6,12.87,20.64,171.9,-674.6,-339.6,17.1,11.58,10.96,17.89
"2025-03-03 11:15:00",7,12.65,21.07,372.1,389,342.3,11.98,11.85,11.29,17.82
"2025-03-03 11:30:00",8,12.82,21.75,372.1,388.3,341.6,12.14,11.91,11.37,18.74
"2025-03-03 11:45:00",9,12.67,22.9,372.4,389.3,341.6,12.38,12.12,11.56,20.98
"2025-03-03 12:00:00",10,12.67,24.13,372.4,388.6,341.6,12.67,12.36,11.77,21.65
"2025-03-03 12:15:00",11,12.55,24.92,372.7,389.3,341.6,13,12.63,12.01,21.79
"2025-03-03 12:30:00",12,12.65,24.98,373,389.6,341.6,13.31,12.83,12.21,21.34
"2025-03-03 12:45:00",13,12.64,24.66,373.3,389.9,342.2,13.65,13.05,12.47,20.96
"2025-03-03 13:00:00",14,12.67,25.1,373.3,389.9,342.2,13.88,13.25,12.73,21.79
"2025-03-03 13:15:00",15,12.63,25.7,373.7,390.6,342.2,14.16,13.5,12.99,23.25
"2025-03-03 13:30:00",16,12.63,27.53,373.6,390.6,342.5,14.48,13.75,13.14,22.8
"2025-03-03 13:45:00",17,12.62,27.91,373.9,389.8,342.8,14.93,14.1,13.35,22.35
"2025-03-03 14:00:00",18,12.61,29.25,373.9,390.5,342.8,14.9,14.11,13.46,23.29
"2025-03-03 14:15:00",19,12.48,28.27,373.9,390.4,342.8,15.42,14.69,13.92,22.43
"2025-03-03 14:30:00",20,12.47,26.68,374.2,391.1,343.1,15.72,14.92,14.25,21.87
"2025-03-03 14:45:00",21,12.62,25.79,374.9,390.8,343.5,15.94,15.06,14.52,21.54
"2025-03-03 15:00:00",22,12.62,25.43,375,391.5,343.9,16.11,15.2,14.75,21.87
"2025-03-03 15:15:00",23,12.52,25.52,375.7,391.9,344.2,16.37,15.44,15.04,21.48
"2025-03-03 15:30:00",24,12.57,25.4,376,391.2,344.2,16.61,15.6,15.22,21.84
"2025-03-03 15:45:00",25,12.56,25.46,376,391.9,344.2,16.86,15.8,15.42,21.59
"2025-03-03 16:00:00",26,12.55,25.01,376,391.6,344.2,17.11,15.96,15.61,21.3
"2025-03-03 16:15:00",27,12.53,24.16,376.4,392.9,344.6,17.3,16.09,15.81,20.79
"2025-03-03 16:30:00",28,12.56,23.99,376.4,393,344.9,17.51,16.25,16,21.06
"2025-03-03 16:45:00",29,12.56,23.29,376.4,392.3,344.6,17.69,16.33,16.11,19.42
"2025-03-03 17:00:00",30,12.57,22.28,376.7,392.6,344.9,17.86,16.4,16.25,17.66
"2025-03-03 17:15:00",31,12.5,21.21,376.7,398.1,345.3,17.95,16.33,16.24,18.3
"2025-03-03 17:30:00",32,12.55,20.61,376.8,398.4,345.7,18,16.34,16.35,17.42
"2025-03-03 17:45:00",33,12.64,19.84,376.8,398.4,345.7,18.02,16.37,16.47,16.62
"2025-03-03 18:00:00",34,12.81,18.97,377.1,397.8,346,18.04,16.31,16.47,15.57
"2025-03-03 18:15:00",35,12.63,18.25,377.2,399.2,346.1,18.07,16.27,16.48,15.07
"2025-03-03 18:30:00",36,12.84,17.49,377.6,397.9,346.4,18.02,16.19,16.47,13.97
"2025-03-03 18:45:00",37,12.85,16.76,377.3,398.9,346.8,17.95,16.19,16.49,13.61
"2025-03-03 19:00:00",38,12.88,15.97,377.3,397.9,347.1,17.83,16.08,16.39,12.63
"2025-03-03 19:15:00",39,12.83,15.26,377.7,399.3,347.2,17.74,15.98,16.36,12.15
"2025-03-03 19:30:00",40,12.89,14.64,377.3,399.3,347.2,17.6,15.86,16.28,11.63
"2025-03-03 19:45:00",41,12.9,14.13,377.3,398.7,347.2,17.46,15.76,16.2,11.64
"2025-03-03 20:00:00",42,12.9,13.64,377.7,399.4,347.2,17.28,15.62,16.1,11.06
"2025-03-03 20:15:00",43,12.44,13.19,377.4,399.4,347.9,17.15,15.5,16,10.57
"2025-03-03 20:30:00",44,12.34,12.81,377.4,398.7,348,16.98,15.38,15.88,10.31
"2025-03-03 20:45:00",45,12.87,12.46,377.1,398,348,16.78,15.24,15.75,10.27
"2025-03-03 21:00:00",46,12.9,12.12,377.4,399.1,348,16.63,15.12,15.64,9.83
"2025-03-03 21:15:00",47,12.91,11.82,377.4,398.4,348,16.46,14.99,15.52,9.63
"2025-03-03 21:30:00",48,12.92,11.47,377.5,398.8,348,16.23,14.82,15.35,9.56
"2025-03-03 21:45:00",49,12.92,11.2,377.1,398.1,348,16.04,14.69,15.22,9.16
"2025-03-03 22:00:00",50,12.92,10.97,376.4,397.8,348,15.87,14.55,15.08,9.5
"2025-03-03 22:15:00",51,12.95,10.7,376.8,398.1,348,15.65,14.39,14.92,9.06
"2025-03-03 22:30:00",52,12.95,10.49,376.8,397.5,348.1,15.48,14.25,14.77,9.66
"2025-03-03 22:45:00",53,12.96,10.29,376.9,398.5,348.1,15.29,14.11,14.64,8.96
"2025-03-03 23:00:00",54,12.97,10.11,376.6,397.9,348.1,15.1,13.96,14.47,8.73
