taxon,resolution,frequence,run_id,curve_type,AIC,param_a,param_b,param_c
Total,600,15,BAC01_1_600_15_run01,power,-16.244779133491942,2.3546144166425678,1.1290869297180672,NA
Total,600,15,BAC01_1_600_15_run01,michaelis_menten,33.08112870914843,736.2882983245603,236.0346971384271,NA
Total,600,15,BAC01_1_600_15_run01,linear,33.39663186430847,-0.272727272727258,3.045454545454544,NA
Total,600,15,BAC01_1_600_15_run01,logistic,41.04752978997286,34.10627409018671,5.603461063054226,2.265264575884771
Total,600,15,BAC01_1_600_15_run01,logarithmic,59.3332449510189,-2.767977648470351,13.05243606414052,NA
Total,600,15,BAC01_2_600_15_run01,power,-23.021565328413946,6.762228402321971,1.0099302554591512,NA
Total,600,15,BAC01_2_600_15_run01,michaelis_menten,40.52323037281166,339.06961141961426,41.8328162123882,NA
Total,600,15,BAC01_2_600_15_run01,logistic,50.660667654100784,72.51366127219039,5.117931324175617,2.243375728374751
Total,600,15,BAC01_2_600_15_run01,linear,53.41467435821339,2.70909090909093,6.381818181818179,NA
Total,600,15,BAC01_2_600_15_run01,logarithmic,71.94663723278433,-3.1232035917241623,27.730928045776928,NA
Total,600,15,BAC01_3_600_15_run01,power,-34.638570949494444,17.121489187680638,1.0460882442201693,NA
Total,600,15,BAC01_3_600_15_run01,michaelis_menten,55.76833554255121,4696.21322636578,243.53626604550485,NA
Total,600,15,BAC01_3_600_15_run01,linear,58.06904695772589,0.2727272727273394,18.590909090909086,NA
Total,600,15,BAC01_3_600_15_run01,logistic,75.34555069673024,221.71624649640816,5.914967490005259,2.4951556786761477
Total,600,15,BAC01_3_600_15_run01,logarithmic,99.80961820266626,-14.218158762061636,79.21239636460386,NA
Total,600,15,BAC01_4_600_15_run01,power,-31.22602694271538,22.876876652366857,0.950402972751832,NA
Total,600,15,BAC01_4_600_15_run01,michaelis_menten,65.80381144657093,1337.6319635024934,57.16302386857157,NA
Total,600,15,BAC01_4_600_15_run01,asymp_exponential,66.00351704205761,728.9686523731212,0.0319198362023317,NA
Total,600,15,BAC01_4_600_15_run01,linear,69.4517760965812,8.836363636363716,19.2090909090909,NA
Total,600,15,BAC01_4_600_15_run01,logistic,83.89324554036666,246.4003692608591,5.918529646803426,2.7906026491436036
Total,600,15,BAC01_4_600_15_run01,logarithmic,99.21450906698355,-7.042739645162897,82.41599615315015,NA
Total,600,15,BAC02_1_600_15_run01,power,2.375427119500574,1.5111313276899643,1.4757745838809435,NA
Total,600,15,BAC02_1_600_15_run01,linear,37.62707652331369,-2.1999999999999797,4.109090909090907,NA
Total,600,15,BAC02_1_600_15_run01,logistic,50.518618701359145,43.56616802287222,5.747169205980881,2.1227180264314724
Total,600,15,BAC02_1_600_15_run01,logarithmic,64.99100173044809,-5.643280141138435,17.65916153882452,NA
Total,600,15,BAC02_2_600_15_run01,power,-29.035291111799943,7.876096843089959,1.0175435491955256,NA
Total,600,15,BAC02_2_600_15_run01,linear,64.3665129657374,-2.690909090909074,8.645454545454545,NA
Total,600,15,BAC02_2_600_15_run01,logistic,64.36996642993279,165.32106860495836,9.674191264764746,3.68825003896841
Total,600,15,BAC02_2_600_15_run01,logarithmic,89.3597375154238,-7.6880167975244715,35.74203986591659,NA
Total,600,15,BAC02_3_600_15_run01,power,-15.927647538777382,13.226528028748787,0.9563897096668328,NA
Total,600,15,BAC02_3_600_15_run01,michaelis_menten,62.2620055994304,1292.66567068506,98.2803581996754,NA
Total,600,15,BAC02_3_600_15_run01,asymp_exponential,62.26574055911246,678.1372436084666,0.01936384659102129,NA
Total,600,15,BAC02_3_600_15_run01,linear,63.72983735579499,2.7090909090909467,11.745454545454542,NA
Total,600,15,BAC02_3_600_15_run01,logistic,73.51121751765362,144.87561106915453,5.898398758934978,2.634613261290279
Total,600,15,BAC02_3_600_15_run01,logarithmic,90.54156121627041,-6.4198558901168905,50.02874035253071,NA
Total,600,15,BAC03_1_600_15_run01,power,-15.483889272798436,5.784808744677125,0.8647035231909167,NA
Total,600,15,BAC03_1_600_15_run01,logistic,28.481667955350655,52.667982510442016,5.819453281869409,2.579817448164077
Total,600,15,BAC03_1_600_15_run01,linear,37.5831993211402,1.5272727272727518,4.245454545454543,NA
Total,600,15,BAC03_1_600_15_run01,asymp_exponential,37.969889771096476,233.73640398382798,0.020758410393187505,NA
Total,600,15,BAC03_1_600_15_run01,michaelis_menten,38.00318076146406,447.28408217098877,92.07427082559744,NA
Total,600,15,BAC03_1_600_15_run01,logarithmic,70.2820567392078,-1.4238081750064673,17.864037855943682,NA
Total,600,15,BAC03_2_600_15_run01,power,-21.79928327727971,7.039342956525859,0.9108835833420774,NA
Total,600,15,BAC03_2_600_15_run01,logistic,33.139869402749724,79.81606484593622,6.732678713704803,2.858131414355839
Total,600,15,BAC03_2_600_15_run01,linear,38.69458020395796,0.23636363636365784,5.9454545454545435,NA
Total,600,15,BAC03_2_600_15_run01,logarithmic,79.25379268459743,-3.457197971966079,24.741261638459417,NA
Total,600,15,BAC03_3_600_15_run01,power,-32.74336411585269,30.662498968743467,0.6320071228154334,NA
Total,600,15,BAC03_3_600_15_run01,linear,43.97139788302894,24.072727272727292,11.29090909090909,NA
Total,600,15,BAC03_3_600_15_run01,logistic,58.353613603589984,180.65901256640717,5.851256578241707,3.6393162214250276
Total,600,15,BAC03_3_600_15_run01,michaelis_menten,73.06866973678672,323.5457961231433,14.066484183132522,NA
Total,600,15,BAC03_3_600_15_run01,asymp_exponential,74.60895907620186,207.82872073453785,0.10445337093884657,NA
Total,600,15,BAC03_3_600_15_run01,logarithmic,88.9597178828384,15.331380262295015,48.07107865567006,NA
Total,600,15,BAC03_4_600_15_run01,power,-20.936354569401335,4.153220000525041,1.0846962514849878,NA
Total,600,15,BAC03_4_600_15_run01,asymp_exponential,44.13414318837994,217.0281038771939,0.024805697053364665,NA
Total,600,15,BAC03_4_600_15_run01,michaelis_menten,44.225674147618214,416.82403302294483,77.39427712224361,NA
Total,600,15,BAC03_4_600_15_run01,linear,47.96934563929155,0.3818181818181997,4.799999999999998,NA
Total,600,15,BAC03_4_600_15_run01,logistic,49.65445053656305,52.179972264471694,5.209793749851973,2.114619799057458
Total,600,15,BAC03_4_600_15_run01,logarithmic,67.59181230118146,-3.82810769406308,20.746360299010266,NA
Total,600,60,BAC01_1_600_60_run01,power,-20.35955100626963,6.526515596414842,0.7686655530698158,NA
Total,600,60,BAC01_1_600_60_run01,linear,19.769970177908448,3.4285714285714297,3.7380952380952377,NA
Total,600,60,BAC01_1_600_60_run01,michaelis_menten,21.21911948035858,105.97578768186266,18.165311919511584,NA
