taxon,resolution,frequence,curve_type,AIC,param_a,param_b,param_c
Total,600,15,power,-51.653985629035866,1.3786255882338814,1.3555289703825517,NA
Total,600,60,power,79.06356282303445,1.0154324004383979,1.550892601340362,NA
Total,600,360,power,190.7810545024384,1.3796058753040037,1.5617084818872171,NA
Total,1200,15,power,77.455925681474,1.610969279472503,1.4579728972132497,NA
Total,1200,60,power,-6.503944925799871,3.639622329647363,1.408264173733613,NA
Total,1200,360,power,181.00334112082447,2.2018464847344283,1.6208544122849522,NA
Total,2400,60,power,43.176630879912906,5.356232597591635,1.3510497220722766,NA
Total,2400,360,power,184.7178517977078,3.2782403088921197,1.6053998452455893,NA
Acari,600,15,power,-Inf,1,1,NA
Acari,600,60,power,-Inf,1,1,NA
Acari,600,360,power,-27.092924065651346,0.9705822078772128,1.038422335498062,NA
Acari,1200,15,power,-121.7731808197419,1.1746387103200933,1.0856450428648392,NA
Acari,1200,60,power,-150.07987648462597,2.4076238510409547,0.9461815145669619,NA
Acari,1200,360,power,-131.6704651332785,1.127126626789555,1.130047920458729,NA
Acari,2400,60,power,-165.02133129021033,2.736742317295056,1.025091257662123,NA
Acari,2400,360,power,-154.13469964214968,1.9618260210182268,1.1054180201265367,NA
Collembola,1200,15,power,-72.17883324261979,1.0217343154172311,1.074743286573884,NA
Collembola,1200,60,power,-64.75078414823737,0.8516918776075268,1.1881214027567784,NA
Collembola,1200,360,power,-140.77240882445943,1.0082621879230875,1.0985781920263642,NA
Collembola,2400,60,power,-85.90151064929987,1.7141214677219192,1.0231331381676505,NA
Collembola,2400,360,power,-98.11144585925736,1.9649197419679039,1.0605248621015861,NA
Enchytraeidae,600,15,power,-34.072203211712726,1.8069824083342874,1.209098853840653,NA
Enchytraeidae,600,60,power,22.84956016828812,1.4433416846375429,1.3767069057552037,NA
Enchytraeidae,600,360,power,0.26588474993844446,3.065989007569923,1.1591375212053767,NA
Enchytraeidae,1200,15,power,11.488773790177548,1.3007371005551438,1.3808245428805896,NA
Enchytraeidae,1200,60,power,-51.65506661787834,3.469846045546536,1.262346556846856,NA
Enchytraeidae,1200,360,power,-11.352222242107668,3.425201945218126,1.3007932526286625,NA
Enchytraeidae,2400,60,power,-74.81515577109744,5.151717788157476,1.1531143653812146,NA
Enchytraeidae,2400,360,power,-123.50101583655243,6.289184988750898,1.1473537766929125,NA
