taxon,resolution,frequence,run_id,curve_type,AIC,param_a,param_b,param_c
Total,600,15,BAC01_1_600_15_run01,power,-16.244779133491942,2.3546144166425678,1.1290869297180672,NA
Total,600,15,BAC01_2_600_15_run01,power,-23.021565328413946,6.762228402321971,1.0099302554591512,NA
Total,600,15,BAC01_3_600_15_run01,power,-34.638570949494444,17.121489187680638,1.0460882442201693,NA
Total,600,15,BAC01_4_600_15_run01,power,-31.22602694271538,22.876876652366857,0.950402972751832,NA
Total,600,15,BAC02_1_600_15_run01,power,2.375427119500574,1.5111313276899643,1.4757745838809435,NA
Total,600,15,BAC02_2_600_15_run01,power,-29.035291111799943,7.876096843089959,1.0175435491955256,NA
Total,600,15,BAC02_3_600_15_run01,power,-15.927647538777382,13.226528028748787,0.9563897096668328,NA
Total,600,15,BAC03_1_600_15_run01,power,-15.483889272798436,5.784808744677125,0.8647035231909167,NA
Total,600,15,BAC03_2_600_15_run01,power,-21.79928327727971,7.039342956525859,0.9108835833420774,NA
Total,600,15,BAC03_3_600_15_run01,power,-32.74336411585269,30.662498968743467,0.6320071228154334,NA
Total,600,15,BAC03_4_600_15_run01,power,-20.936354569401335,4.153220000525041,1.0846962514849878,NA
Total,600,60,BAC01_1_600_60_run01,power,-20.35955100626963,6.526515596414842,0.7686655530698158,NA
Total,600,60,BAC01_3_600_60_run01,power,-31.4237172825961,28.419550947881717,1.0694319489319042,NA
Total,600,60,BAC01_4_600_60_run01,power,-11.082274844605863,26.713288664474703,1.2717184561226216,NA
Total,600,60,BAC02_2_600_60_run01,power,-25.551588488612726,8.628350339973416,0.8497844094763835,NA
Total,600,60,BAC02_4_600_60_run01,power,-16.975819160725962,6.900569012886685,1.4234251249178838,NA
Total,600,60,BAC03_1_600_60_run01,power,8.11368482982373,1.7069505655922221,1.4850008172334968,NA
Total,600,60,BAC03_3_600_60_run01,power,-42.57354126489422,69.61222980843947,0.7090142980631123,NA
Total,600,360,BAC01_1_600_360_run01,power,-16.352767960665595,8.668205883321964,0.7833555093694063,NA
Total,600,360,BAC01_2_600_360_run01,power,-20.268145367385603,6.075489843150764,1.0541558553381278,NA
Total,600,360,BAC01_3_600_360_run01,power,-35.48086382190899,90.50096702199836,0.9384949341525373,NA
Total,600,360,BAC02_2_600_360_run02,power,11.278630428563742,3.6713348068541216,1.5388783596158142,NA
Total,600,360,BAC02_4_600_360_run01,power,-13.803120899779621,13.7039135580691,1.1914090417470584,NA
Total,600,360,BAC03_2_600_360_run01,power,-18.689562405594096,3.833284267696209,1.2105677804949537,NA
Total,1200,15,BAC01_2_1200_15_run01,power,-21.24898092354727,10.872534086089932,0.887094031873634,NA
Total,1200,15,BAC01_3_1200_15_run01,power,-45.2747202534594,63.86577584444797,0.9962503203127734,NA
Total,1200,15,BAC01_4_1200_15_run01,power,-40.28178128214457,15.309711202483042,0.7978251314563343,NA
Total,1200,15,BAC02_1_1200_15_run01,power,-13.16419799842435,4.916140764638684,1.140575958377477,NA
Total,1200,15,BAC02_2_1200_15_run01,power,-37.40702179421144,19.074126193442293,1.0216638849190667,NA
Total,1200,15,BAC02_3_1200_15_run01,power,-30.266499658769604,15.059792324631456,1.0969486647839102,NA
Total,1200,15,BAC02_4_1200_15_run01,power,-32.23052508080801,32.41275051249554,0.9493934077474834,NA
Total,1200,15,BAC03_1_1200_15_run01,power,-6.630159623475052,5.364180907069331,1.0215036135709572,NA
Total,1200,15,BAC03_2_1200_15_run01,power,-32.21511801532286,13.920768331021396,0.9806188993720882,NA
Total,1200,15,BAC03_4_1200_15_run01,power,-25.034514604555266,11.486383082623886,1.0707417496478036,NA
Total,1200,60,BAC01_1_1200_60_run01,power,-12.470945301224688,11.170189665931328,0.8037362584441021,NA
Total,1200,60,BAC01_2_1200_60_run01,power,-5.630970578853091,15.223644516284752,1.0109320212555866,NA
Total,1200,60,BAC01_3_1200_60_run01,power,-24.52590058478154,35.53674671872575,1.1937494641544566,NA
Total,1200,60,BAC01_4_1200_60_run01,power,-23.249407521394442,40.43181095848838,0.9004740472465983,NA
Total,1200,60,BAC02_2_1200_60_run01,power,-18.667775674002918,5.751620627383362,1.3146987204519784,NA
Total,1200,60,BAC02_3_1200_60_run01,power,-34.378477173756224,25.036167373757984,1.1403439429923483,NA
Total,1200,60,BAC02_4_1200_60_run01,power,-32.78121512077832,32.77624269031585,0.900289510993612,NA
Total,1200,60,BAC03_2_1200_60_run01,power,-29.898019889686985,12.997123524168796,0.948742278902879,NA
Total,1200,60,BAC03_3_1200_60_run01,power,-54.15315392389864,40.70505705302088,0.9911161911394795,NA
Total,1200,60,BAC03_4_1200_60_run01,power,-22.721204318268434,14.688879037920623,0.9385356690668378,NA
Total,1200,360,BAC01_1_1200_360_run01,power,-31.386100286356957,11.527751977135594,0.9652674914130543,NA
Total,1200,360,BAC01_2_1200_360_run01,power,-24.225100636034064,20.183489157312096,1.0584289878330497,NA
Total,1200,360,BAC01_4_1200_360_run02,power,-23.222785507356758,65.35559914522884,0.9369375669845922,NA
Total,1200,360,BAC02_1_1200_360_run01,power,-26.50463606964727,11.153918381850179,1.0356533717091208,NA
Total,1200,360,BAC02_2_1200_360_run01,power,-20.138422513204077,14.634404334182943,0.9383301244570383,NA
Total,1200,360,BAC02_3_1200_360_run01,power,-6.022235149935929,92.90837765716577,1.3717752510960484,NA
Total,1200,360,BAC03_1_1200_360_run01,power,-5.4198480989215945,12.451355166925051,0.8582710641855514,NA
Total,1200,360,BAC03_4_1200_360_run02,power,-13.14612053696521,21.47049747478172,1.1403754114112037,NA
Total,2400,60,BAC01_1_2400_60_run01,power,-22.407215044466078,9.856748631239736,1.0457164991688244,NA
Total,2400,60,BAC01_2_2400_60_run01,power,-28.19184036162528,20.779493115528894,0.9568574884373875,NA
Total,2400,60,BAC01_3_2400_60_run01,power,-25.1959339028473,73.96884108824922,0.8985685034349227,NA
Total,2400,60,BAC01_4_2400_60_run01,power,-14.270811922786464,5.763796190153208,1.1469243954599475,NA
Total,2400,60,BAC02_1_2400_60_run01,power,-16.376084897338295,15.164126393924985,0.8910739405146144,NA
Total,2400,60,BAC02_2_2400_60_run01,power,-24.716614756180835,20.29723993390223,1.0361945567569832,NA
Total,2400,60,BAC02_3_2400_60_run01,power,-20.098662694901556,99.81951475478711,0.9993749024046839,NA
Total,2400,60,BAC02_4_2400_60_run01,power,-20.254404524621094,20.409026937782055,1.1969849085132693,NA
Total,2400,60,BAC03_1_2400_60_run01,power,-33.6351655005677,16.963123664053423,0.8954608461741717,NA
Total,2400,60,BAC03_2_2400_60_run01,power,-12.535990450582474,16.162322154447804,1.1958422931801855,NA
Total,2400,60,BAC03_4_2400_60_run01,power,-12.937842015323561,25.311654572783045,1.006971106566532,NA
Total,2400,360,BAC01_1_2400_360_run01,power,-21.30003767657813,14.776810280339474,0.915740926760314,NA
Total,2400,360,BAC01_2_2400_360_run01,power,-14.529977117459516,28.947341386570443,0.9655850875034777,NA
Total,2400,360,BAC01_4_2400_360_run01,power,-21.655682241990924,244.00647309169386,0.8303276048079254,NA
Total,2400,360,BAC02_1_2400_360_run01,power,-28.214432181308986,14.25177010811348,1.0646679199617044,NA
Total,2400,360,BAC02_2_2400_360_run01,power,-31.867901753131164,22.974392079570936,1.0603791705459062,NA
Total,2400,360,BAC02_3_2400_360_run01,power,-24.27209975577967,163.01649171789035,1.0678041190999197,NA
Total,2400,360,BAC02_4_2400_360_run01,power,5.093290987371912,151.4759343063234,1.3409470971903068,NA
