taxon,resolution,frequence,curve_type,param_a,param_a_sd,param_b,param_b_sd,param_c,param_c_sd,n_runs
Total,600,15,power,10.851712320819294,NA,1.0070460659750853,NA,NA,NA,11
Total,600,60,power,21.21535070509472,NA,1.0824343725450312,NA,NA,NA,7
Total,600,360,power,21.075532563515086,NA,1.119476913452983,NA,NA,NA,6
Total,1200,15,power,19.22821632489435,NA,0.9962615662061528,NA,NA,NA,10
Total,1200,60,power,23.43174821659977,NA,1.0142618104647878,NA,NA,NA,10
Total,1200,360,power,31.210674161822773,NA,1.0381299086362072,NA,NA,NA,8
Total,2400,60,power,29.499626130622882,NA,1.0245426764192294,NA,NA,NA,11
Total,2400,360,power,89.11944765754153,NA,1.043766461387567,NA,NA,NA,10
Acari,1200,15,power,1.2738405166304412,NA,1.0968048793405767,NA,NA,NA,1
Acari,1200,60,power,1.8140233993912727,NA,1.0911319545741323,NA,NA,NA,2
Acari,1200,360,power,1.0464378081564785,NA,1.47561781969866,NA,NA,NA,1
Acari,2400,60,power,4.112071656360487,NA,0.9220606709929011,NA,NA,NA,3
Acari,2400,360,power,3.3628275191761494,NA,1.0590993056617193,NA,NA,NA,6
Collembola,2400,60,power,1.8076631860851051,NA,1.1434494553922576,NA,NA,NA,6
Collembola,2400,360,power,2.977333915473729,NA,1.0666860326291407,NA,NA,NA,5
Enchytraeidae,600,15,power,7.214982399730881,NA,1.0279788377962067,NA,NA,NA,7
Enchytraeidae,600,60,power,8.884372633513724,NA,1.1302800331027791,NA,NA,NA,5
Enchytraeidae,600,360,power,5.430770171624605,NA,1.2935377848651815,NA,NA,NA,5
Enchytraeidae,1200,15,power,11.947886562855219,NA,0.998238476537343,NA,NA,NA,7
Enchytraeidae,1200,60,power,14.521812281102392,NA,0.9916503851022923,NA,NA,NA,7
Enchytraeidae,1200,360,power,16.17521915386725,NA,1.080707794530441,NA,NA,NA,7
Enchytraeidae,2400,60,power,10.641043528324737,NA,1.0401815633568186,NA,NA,NA,9
Enchytraeidae,2400,360,power,13.967605450115006,NA,0.9742207818766717,NA,NA,NA,8
