taxon,resolution,frequence,datetime,run_id,x,y
Acari,600,15,2025-03-10T00:45:00Z,BAC01_1_600_15_run01,1,1
Acari,600,15,2025-03-10T02:45:00Z,BAC01_1_600_15_run02,1,1
Acari,600,15,2025-03-21T09:45:00Z,BAC01_2_600_15_run01,1,1
Acari,600,15,2025-03-21T11:45:00Z,BAC01_2_600_15_run02,1,1
Acari,600,15,2025-04-10T02:00:00Z,BAC01_4_600_15_run01,1,1
Acari,600,15,2025-04-10T02:30:00Z,BAC01_4_600_15_run02,1,1
Acari,600,15,2025-03-13T09:00:00Z,BAC03_1_600_15_run01,1,1
Acari,600,15,2025-04-06T19:00:00Z,BAC03_4_600_15_run01,1,1
Acari,600,15,2025-04-06T19:30:00Z,BAC03_4_600_15_run02,1,1
Acari,600,15,2025-04-06T20:45:00Z,BAC03_4_600_15_run03,1,1
Acari,600,60,2025-03-06T15:00:00Z,BAC01_1_600_60_run01,1,1
Acari,600,60,2025-03-06T16:00:00Z,BAC01_1_600_60_run01,2,2
Acari,600,60,2025-03-06T17:00:00Z,BAC01_1_600_60_run01,3,3
Acari,600,60,2025-03-23T15:00:00Z,BAC02_2_600_60_run01,1,1
Acari,600,60,2025-04-13T00:00:00Z,BAC02_4_600_60_run01,1,1
Acari,600,60,2025-04-13T05:00:00Z,BAC02_4_600_60_run02,1,1
Acari,600,60,2025-03-03T09:00:00Z,BAC03_1_600_60_run01,1,1
Acari,600,60,2025-03-13T04:00:00Z,BAC03_1_600_60_run02,1,1
Acari,600,60,2025-04-09T18:00:00Z,BAC03_4_600_60_run01,1,1
Acari,600,60,2025-04-09T21:00:00Z,BAC03_4_600_60_run02,1,1
Acari,600,360,2025-03-04T19:00:00Z,BAC01_1_600_360_run01,1,1
Acari,600,360,2025-03-05T01:00:00Z,BAC01_1_600_360_run01,2,2
Acari,600,360,2025-03-05T19:00:00Z,BAC01_1_600_360_run02,1,1
Acari,600,360,2025-04-10T16:00:00Z,BAC01_4_600_360_run01,1,1
Acari,600,360,2025-04-12T10:00:00Z,BAC01_4_600_360_run02,1,2
Acari,600,360,2025-03-16T13:00:00Z,BAC02_2_600_360_run01,1,1
Acari,600,360,2025-04-09T15:00:00Z,BAC02_4_600_360_run01,1,1
Acari,600,360,2025-03-16T10:00:00Z,BAC03_2_600_360_run01,1,1
Acari,600,360,2025-04-12T10:00:00Z,BAC03_4_600_360_run01,1,1
Acari,1200,15,2025-03-09T21:15:00Z,BAC01_1_1200_15_run01,1,1
Acari,1200,15,2025-03-09T21:30:00Z,BAC01_1_1200_15_run01,2,3
Acari,1200,15,2025-03-09T22:15:00Z,BAC01_1_1200_15_run02,1,1
Acari,1200,15,2025-03-09T22:30:00Z,BAC01_1_1200_15_run02,2,3
Acari,1200,15,2025-03-09T23:30:00Z,BAC01_1_1200_15_run03,1,1
Acari,1200,15,2025-03-09T23:45:00Z,BAC01_1_1200_15_run03,2,3
Acari,1200,15,2025-03-21T12:15:00Z,BAC01_2_1200_15_run01,1,2
Acari,1200,15,2025-03-21T12:30:00Z,BAC01_2_1200_15_run01,2,4
Acari,1200,15,2025-03-21T13:00:00Z,BAC01_2_1200_15_run02,1,1
Acari,1200,15,2025-03-21T14:15:00Z,BAC01_2_1200_15_run03,1,4
Acari,1200,15,2025-03-21T14:30:00Z,BAC01_2_1200_15_run03,2,10
Acari,1200,15,2025-03-21T14:45:00Z,BAC01_2_1200_15_run03,3,12
Acari,1200,15,2025-04-12T23:15:00Z,BAC01_4_1200_15_run01,1,1
Acari,1200,15,2025-04-12T23:30:00Z,BAC01_4_1200_15_run01,2,2
Acari,1200,15,2025-04-13T00:00:00Z,BAC01_4_1200_15_run02,1,1
Acari,1200,15,2025-04-13T00:15:00Z,BAC01_4_1200_15_run02,2,3
Acari,1200,15,2025-04-13T00:45:00Z,BAC01_4_1200_15_run03,1,1
Acari,1200,15,2025-04-13T01:00:00Z,BAC01_4_1200_15_run03,2,2
Acari,1200,15,2025-04-13T01:15:00Z,BAC01_4_1200_15_run03,3,4
Acari,1200,15,2025-04-13T01:30:00Z,BAC01_4_1200_15_run03,4,5
Acari,1200,15,2025-04-13T01:45:00Z,BAC01_4_1200_15_run03,5,6
Acari,1200,15,2025-03-10T01:15:00Z,BAC02_1_1200_15_run01,1,1
Acari,1200,15,2025-03-10T02:30:00Z,BAC02_1_1200_15_run02,1,1
Acari,1200,15,2025-03-23T07:15:00Z,BAC02_2_1200_15_run01,1,1
Acari,1200,15,2025-03-23T07:30:00Z,BAC02_2_1200_15_run01,2,3
Acari,1200,15,2025-03-23T07:45:00Z,BAC02_2_1200_15_run01,3,5
Acari,1200,15,2025-03-23T08:00:00Z,BAC02_2_1200_15_run01,4,6
Acari,1200,15,2025-03-23T08:15:00Z,BAC02_2_1200_15_run01,5,9
Acari,1200,15,2025-03-23T08:30:00Z,BAC02_2_1200_15_run01,6,10
Acari,1200,15,2025-03-23T08:45:00Z,BAC02_2_1200_15_run01,7,11
Acari,1200,15,2025-03-23T09:00:00Z,BAC02_2_1200_15_run01,8,12
Acari,1200,15,2025-03-23T09:15:00Z,BAC02_2_1200_15_run01,9,13
Acari,1200,15,2025-03-23T09:30:00Z,BAC02_2_1200_15_run01,10,14
Acari,1200,15,2025-03-23T09:45:00Z,BAC02_2_1200_15_run01,11,16
Acari,1200,15,2025-04-16T06:15:00Z,BAC02_4_1200_15_run01,1,1
Acari,1200,15,2025-04-16T06:30:00Z,BAC02_4_1200_15_run01,2,2
Acari,1200,15,2025-04-16T07:00:00Z,BAC02_4_1200_15_run02,1,2
Acari,1200,15,2025-04-16T07:30:00Z,BAC02_4_1200_15_run03,1,1
Acari,1200,15,2025-04-16T08:15:00Z,BAC02_4_1200_15_run04,1,1
Acari,1200,15,2025-04-16T08:30:00Z,BAC02_4_1200_15_run04,2,2
Acari,1200,15,2025-03-06T14:15:00Z,BAC03_1_1200_15_run01,1,1
Acari,1200,15,2025-03-06T14:30:00Z,BAC03_1_1200_15_run01,2,2
Acari,1200,15,2025-03-06T15:00:00Z,BAC03_1_1200_15_run02,1,2
Acari,1200,15,2025-03-06T15:45:00Z,BAC03_1_1200_15_run03,1,2
Acari,1200,15,2025-03-06T16:15:00Z,BAC03_1_1200_15_run04,1,1
Acari,1200,15,2025-03-06T16:45:00Z,BAC03_1_1200_15_run05,1,2
Acari,1200,15,2025-03-14T07:15:00Z,BAC03_2_1200_15_run01,1,2
