label,R2_marginal,R2_conditional,AIC,BIC,term,p_value
Acari,0.7393766746383075,1,504.26545404593134,538.1088328331917,p_frequence,0.086
Acari,0.7393766746383075,1,504.26545404593134,538.1088328331917,p_interaction,0.707
Acari,0.7393766746383075,1,504.26545404593134,538.1088328331917,p_resolution,0
Collembola,0.19950138448965365,0.2659789348315291,360.6181069814745,389.27497902734353,p_frequence,0.142
Collembola,0.19950138448965365,0.2659789348315291,360.6181069814745,389.27497902734353,p_interaction,0.652
Collembola,0.19950138448965365,0.2659789348315291,360.6181069814745,389.27497902734353,p_resolution,0
Enchytraeidae,0.2928176498709591,1,916.3788058133,944.5866359194462,p_frequence,0
Enchytraeidae,0.2928176498709591,1,916.3788058133,944.5866359194462,p_interaction,0.332
Enchytraeidae,0.2928176498709591,1,916.3788058133,944.5866359194462,p_resolution,0
Total,0.3546523102500012,1,1427.9796682738147,1459.09111938414,p_frequence,0
Total,0.3546523102500012,1,1427.9796682738147,1459.09111938414,p_interaction,0.002
Total,0.3546523102500012,1,1427.9796682738147,1459.09111938414,p_resolution,0
