label,R2_marginal,R2_conditional,AIC,BIC,term,p_value
Acari,0.7393766746383075,1,504.26545404593134,538.1088328331917,p_frequence,0.08609195422965599
Acari,0.7393766746383075,1,504.26545404593134,538.1088328331917,p_interaction,0.7071506906070983
Acari,0.7393766746383075,1,504.26545404593134,538.1088328331917,p_resolution,1.7760402794302113e-8
Collembola,0.19950138448965365,0.2659789348315291,360.6181069814745,389.27497902734353,p_frequence,0.14218731625136102
Collembola,0.19950138448965365,0.2659789348315291,360.6181069814745,389.27497902734353,p_interaction,0.6517373504921271
Collembola,0.19950138448965365,0.2659789348315291,360.6181069814745,389.27497902734353,p_resolution,5.378197960451004e-7
Enchytraeidae,0.2928176498709591,1,916.3788058133,944.5866359194462,p_frequence,1.290239237923401e-4
Enchytraeidae,0.2928176498709591,1,916.3788058133,944.5866359194462,p_interaction,0.3318191607358994
Enchytraeidae,0.2928176498709591,1,916.3788058133,944.5866359194462,p_resolution,7.963492477594811e-5
Total,0.3546523102500012,1,1427.9796682738147,1459.09111938414,p_frequence,1.0614769382799943e-15
Total,0.3546523102500012,1,1427.9796682738147,1459.09111938414,p_interaction,0.0017974407740598468
Total,0.3546523102500012,1,1427.9796682738147,1459.09111938414,p_resolution,4.3759816646111864e-23
