"Basename","year","month","day","hour","class","method","count","project"
"scan106_2023-06-16_08H00M24S",2023,6,16,8,"acari","auto",2,"DESCENT"
"scan106_2023-06-16_08H00M24S",2023,6,16,8,"acari","manual",3,"DESCENT"
"scan106_2023-06-16_08H00M24S",2023,6,16,8,"background","auto",25,"DESCENT"
"scan106_2023-06-16_08H00M24S",2023,6,16,8,"background","manual",0,"DESCENT"
"scan106_2023-06-16_08H00M24S",2023,6,16,8,"collembola","auto",2,"DESCENT"
"scan106_2023-06-16_08H00M24S",2023,6,16,8,"collembola","manual",13,"DESCENT"
"scan106_2023-06-16_08H00M24S",2023,6,16,8,"enchytraeidae","auto",6,"DESCENT"
"scan106_2023-06-16_08H00M24S",2023,6,16,8,"enchytraeidae","manual",31,"DESCENT"
"scan106_2023-06-16_08H00M24S",2023,6,16,8,"insecta larva","auto",1,"DESCENT"
"scan106_2023-06-16_08H00M24S",2023,6,16,8,"insecta larva","manual",0,"DESCENT"
"scan106_2023-06-16_08H00M24S",2023,6,16,8,"julida","auto",1,"DESCENT"
"scan106_2023-06-16_08H00M24S",2023,6,16,8,"julida","manual",0,"DESCENT"
"scan106_2023-06-16_08H00M24S",2023,6,16,8,"unknown","auto",1,"DESCENT"
"scan106_2023-06-16_08H00M24S",2023,6,16,8,"unknown","manual",10,"DESCENT"
"scan106_2023-06-17_08H00M24S",2023,6,17,8,"acari","auto",1,"DESCENT"
"scan106_2023-06-17_08H00M24S",2023,6,17,8,"acari","manual",4,"DESCENT"
"scan106_2023-06-17_08H00M24S",2023,6,17,8,"background","auto",25,"DESCENT"
"scan106_2023-06-17_08H00M24S",2023,6,17,8,"background","manual",0,"DESCENT"
"scan106_2023-06-17_08H00M24S",2023,6,17,8,"insecta larva","auto",1,"DESCENT"
"scan106_2023-06-17_08H00M24S",2023,6,17,8,"insecta larva","manual",0,"DESCENT"
"scan106_2023-06-17_08H00M24S",2023,6,17,8,"symphyla","auto",1,"DESCENT"
"scan106_2023-06-17_08H00M24S",2023,6,17,8,"symphyla","manual",6,"DESCENT"
"scan106_2023-06-18_08H00M23S",2023,6,18,8,"background","auto",20,"DESCENT"
"scan106_2023-06-18_08H00M23S",2023,6,18,8,"background","manual",0,"DESCENT"
"scan106_2023-06-18_08H00M23S",2023,6,18,8,"collembola","auto",2,"DESCENT"
"scan106_2023-06-18_08H00M23S",2023,6,18,8,"collembola","manual",19,"DESCENT"
"scan106_2023-06-18_08H00M23S",2023,6,18,8,"julida","auto",1,"DESCENT"
"scan106_2023-06-18_08H00M23S",2023,6,18,8,"julida","manual",0,"DESCENT"
"scan106_2023-06-18_08H00M23S",2023,6,18,8,"multi_taxa","auto",1,"DESCENT"
"scan106_2023-06-18_08H00M23S",2023,6,18,8,"multi_taxa","manual",0,"DESCENT"
"scan106_2023-06-18_08H00M23S",2023,6,18,8,"pauropoda","auto",1,"DESCENT"
"scan106_2023-06-18_08H00M23S",2023,6,18,8,"pauropoda","manual",2,"DESCENT"
"scan106_2023-06-18_08H00M23S",2023,6,18,8,"symphyla","auto",3,"DESCENT"
"scan106_2023-06-18_08H00M23S",2023,6,18,8,"symphyla","manual",5,"DESCENT"
"scan106_2023-06-19_08H00M23S",2023,6,19,8,"acari","auto",1,"DESCENT"
"scan106_2023-06-19_08H00M23S",2023,6,19,8,"acari","manual",5,"DESCENT"
"scan106_2023-06-19_08H00M23S",2023,6,19,8,"background","auto",18,"DESCENT"
"scan106_2023-06-19_08H00M23S",2023,6,19,8,"background","manual",0,"DESCENT"
"scan106_2023-06-19_08H00M23S",2023,6,19,8,"julida","auto",1,"DESCENT"
"scan106_2023-06-19_08H00M23S",2023,6,19,8,"julida","manual",0,"DESCENT"
"scan106_2023-06-19_08H00M23S",2023,6,19,8,"pauropoda","auto",1,"DESCENT"
"scan106_2023-06-19_08H00M23S",2023,6,19,8,"pauropoda","manual",1,"DESCENT"
"scan106_2023-06-19_08H00M23S",2023,6,19,8,"unknown","auto",2,"DESCENT"
"scan106_2023-06-19_08H00M23S",2023,6,19,8,"unknown","manual",11,"DESCENT"
"scan106_2023-06-20_08H00M24S",2023,6,20,8,"acari","auto",1,"DESCENT"
"scan106_2023-06-20_08H00M24S",2023,6,20,8,"acari","manual",3,"DESCENT"
"scan106_2023-06-20_08H00M24S",2023,6,20,8,"background","auto",47,"DESCENT"
"scan106_2023-06-20_08H00M24S",2023,6,20,8,"background","manual",0,"DESCENT"
"scan106_2023-06-20_08H00M24S",2023,6,20,8,"julida","auto",2,"DESCENT"
"scan106_2023-06-20_08H00M24S",2023,6,20,8,"julida","manual",0,"DESCENT"
"scan106_2023-06-21_08H00M23S",2023,6,21,8,"acari","auto",1,"DESCENT"
"scan106_2023-06-21_08H00M23S",2023,6,21,8,"acari","manual",6,"DESCENT"
"scan106_2023-06-21_08H00M23S",2023,6,21,8,"background","auto",12,"DESCENT"
"scan106_2023-06-21_08H00M23S",2023,6,21,8,"background","manual",0,"DESCENT"
"scan106_2023-06-21_08H00M23S",2023,6,21,8,"pauropoda","auto",1,"DESCENT"
"scan106_2023-06-21_08H00M23S",2023,6,21,8,"pauropoda","manual",1,"DESCENT"
"scan106_2023-06-21_08H00M23S",2023,6,21,8,"symphyla","auto",1,"DESCENT"
"scan106_2023-06-21_08H00M23S",2023,6,21,8,"symphyla","manual",7,"DESCENT"
"scan106_2023-06-22_08H00M23S",2023,6,22,8,"acari","auto",2,"DESCENT"
