"Basename","year","month","day","hour","class","method","count"
"Trufor_190501-0603_Scan5_197",2019,5,1,6,"enchytraeidae","automated",4
"Trufor_190501-0603_Scan5_197",2019,5,1,6,"enchytraeidae","manual",16
"Trufor_190501-0603_Scan5_197",2019,5,1,6,"mesostigmata","automated",1
"Trufor_190501-0603_Scan5_197",2019,5,1,6,"mesostigmata","manual",0
"Trufor_190501-0603_Scan5_197",2019,5,1,6,"poduromorpha","automated",1
"Trufor_190501-0603_Scan5_197",2019,5,1,6,"poduromorpha","manual",0
"Trufor_190501-0603_Scan5_197",2019,5,1,6,"root","automated",4
"Trufor_190501-0603_Scan5_197",2019,5,1,6,"root","manual",0
"Trufor_190501-0603_Scan5_197",2019,5,1,6,"symphyla","automated",1
"Trufor_190501-0603_Scan5_197",2019,5,1,6,"symphyla","manual",2
"Trufor_190501-0603_Scan5_197",2019,5,1,6,"unknown","automated",2
"Trufor_190501-0603_Scan5_197",2019,5,1,6,"unknown","manual",0
"Trufor_190501-1203_Scan5_198",2019,5,1,12,"acari","automated",1
"Trufor_190501-1203_Scan5_198",2019,5,1,12,"acari","manual",0
"Trufor_190501-1203_Scan5_198",2019,5,1,12,"enchytraeidae","automated",6
"Trufor_190501-1203_Scan5_198",2019,5,1,12,"enchytraeidae","manual",22
"Trufor_190501-1203_Scan5_198",2019,5,1,12,"root","automated",1
"Trufor_190501-1203_Scan5_198",2019,5,1,12,"root","manual",0
"Trufor_190501-1203_Scan5_198",2019,5,1,12,"symphyla","automated",1
"Trufor_190501-1203_Scan5_198",2019,5,1,12,"symphyla","manual",2
"Trufor_190501-1203_Scan5_198",2019,5,1,12,"unknown","automated",8
"Trufor_190501-1203_Scan5_198",2019,5,1,12,"unknown","manual",0
"Trufor_190501-1803_Scan5_199",2019,5,1,18,"acari","automated",1
"Trufor_190501-1803_Scan5_199",2019,5,1,18,"acari","manual",0
"Trufor_190501-1803_Scan5_199",2019,5,1,18,"enchytraeidae","automated",1
"Trufor_190501-1803_Scan5_199",2019,5,1,18,"enchytraeidae","manual",11
"Trufor_190501-1803_Scan5_199",2019,5,1,18,"root","automated",1
"Trufor_190501-1803_Scan5_199",2019,5,1,18,"root","manual",0
"Trufor_190501-1803_Scan5_199",2019,5,1,18,"symphyla","automated",1
"Trufor_190501-1803_Scan5_199",2019,5,1,18,"symphyla","manual",1
"Trufor_190501-1803_Scan5_199",2019,5,1,18,"trombidiformes","automated",1
"Trufor_190501-1803_Scan5_199",2019,5,1,18,"trombidiformes","manual",0
"Trufor_190501-1803_Scan5_199",2019,5,1,18,"unknown","automated",4
"Trufor_190501-1803_Scan5_199",2019,5,1,18,"unknown","manual",0
"Trufor_190502-0003_Scan5_200",2019,5,2,0,"enchytraeidae","automated",4
"Trufor_190502-0003_Scan5_200",2019,5,2,0,"enchytraeidae","manual",14
"Trufor_190502-0003_Scan5_200",2019,5,2,0,"lumbricidae","automated",1
"Trufor_190502-0003_Scan5_200",2019,5,2,0,"lumbricidae","manual",1
"Trufor_190502-0003_Scan5_200",2019,5,2,0,"root","automated",2
"Trufor_190502-0003_Scan5_200",2019,5,2,0,"root","manual",0
"Trufor_190502-0003_Scan5_200",2019,5,2,0,"symphyla","automated",2
"Trufor_190502-0003_Scan5_200",2019,5,2,0,"symphyla","manual",3
"Trufor_190502-0003_Scan5_200",2019,5,2,0,"unknown","automated",4
"Trufor_190502-0003_Scan5_200",2019,5,2,0,"unknown","manual",1
"Trufor_190502-0603_Scan5_201",2019,5,2,6,"enchytraeidae","automated",2
"Trufor_190502-0603_Scan5_201",2019,5,2,6,"enchytraeidae","manual",11
"Trufor_190502-0603_Scan5_201",2019,5,2,6,"lumbricidae","automated",1
"Trufor_190502-0603_Scan5_201",2019,5,2,6,"lumbricidae","manual",0
"Trufor_190502-0603_Scan5_201",2019,5,2,6,"root","automated",1
"Trufor_190502-0603_Scan5_201",2019,5,2,6,"root","manual",0
"Trufor_190502-0603_Scan5_201",2019,5,2,6,"symphyla","automated",1
"Trufor_190502-0603_Scan5_201",2019,5,2,6,"symphyla","manual",1
"Trufor_190502-0603_Scan5_201",2019,5,2,6,"unknown","automated",1
"Trufor_190502-0603_Scan5_201",2019,5,2,6,"unknown","manual",0
"Trufor_190502-1203_Scan5_202",2019,5,2,12,"acari","automated",1
"Trufor_190502-1203_Scan5_202",2019,5,2,12,"acari","manual",1
"Trufor_190502-1203_Scan5_202",2019,5,2,12,"enchytraeidae","automated",2
