year;month;day;hour;subject;subjects_number;predicate;object
2019;5;1;0;Enchytraeidae;1;present;
2019;5;1;0;Symphyla;1;present;
2019;5;1;6;Symphyla;1;present;
2019;5;1;6;Enchytraeidae;1;present;
2019;5;1;6;Enchytraeidae;1;co-occurs;grass root
2019;5;1;6;Collembola;1;present;
2019;5;1;12;Enchytraeidae;1;co-occurs;grass root
2019;5;1;12;Enchytraeidae;2;present;
2019;5;1;18;Enchytraeidae;1;present;
2019;5;2;0;Enchytraeidae;2;co-occurs;grass root
2019;5;2;0;unknown;1;co-occurs;grass root
2019;5;2;0;Rhabdura;1;present;
2019;5;2;6;Acari;1;present;
2019;5;2;6;Enchytraeidae;1;co-occurs;grass root
2019;5;2;12;Enchytraeidae;4;present;
2019;5;2;18;Enchytraeidae;3;present;
2019;5;3;0;unknown;1;present;
2019;5;3;0;Enchytraeidae;1;co-occurs;grass root
2019;5;3;0;Acari;1;present;
2019;5;3;6;Enchytraeidae;1;present;
2019;5;3;12;Enchytraeidae;1;present;
2019;5;3;12;Collembola;1;present;
2019;5;3;18;Enchytraeidae;1;co-occurs;grass root
2019;5;3;18;Enchytraeidae;2;present;
2019;5;4;0;Enchytraeidae;1;co-occurs;grass root
2019;5;4;0;Collembola;1;co-occurs;root mature region
2019;5;4;6;Enchytraeidae;1;co-occurs;grass root
2019;5;4;6;Enchytraeidae;3;present;
2019;5;4;12;Enchytraeidae;1;co-occurs;grass root
2019;5;4;18;Symphyla;1;present;
2019;5;5;0;Enchytraeidae;1;co-occurs;grass root
2019;5;5;6;Enchytraeidae;2;co-occurs;grass root
2019;5;5;6;Collembola;1;co-occurs;grass root
2019;5;5;6;Enchytraeidae;1;present;
2019;5;5;12;Enchytraeidae;2;present;
2019;5;5;18;Acari;1;present;
2019;5;5;18;Enchytraeidae;2;present;
2019;5;5;18;Enchytraeidae;2;co-occurs;grass root
2019;5;6;0;Enchytraeidae;4;present;
2019;5;6;6;Enchytraeidae;3;present;
2019;5;6;6;Enchytraeidae;1;co-occurs;grass root
2019;5;6;18;Enchytraeidae;2;present;
2019;5;6;18;unknown;1;co-occurs;Enchytraeidae
2019;5;7;0;Enchytraeidae;1;present;
2019;5;7;0;Symphyla;1;co-occurs;grass root
2019;5;7;6;Enchytraeidae;1;present;
2019;5;8;12;Enchytraeidae;1;co-occurs;grass root
2019;5;8;12;Enchytraeidae;1;present;
2019;5;8;12;Acari;1;present;
2019;5;8;18;Acari;1;present;
2019;5;8;18;Collembola;1;present;
2019;5;8;18;Enchytraeidae;1;co-occurs;grass root
2019;5;9;0;Enchytraeidae;1;co-occurs;grass root
2019;5;9;0;Julida;1;present;
2019;5;9;6;Enchytraeidae;1;present;
2019;5;10;6;Rhabdura;1;present;
2019;5;10;12;Enchytraeidae;1;co-occurs;grass root
2019;5;10;18;Enchytraeidae;1;co-occurs;grass root
2019;5;11;0;Enchytraeidae;1;present;
2019;5;11;6;Enchytraeidae;2;present;
2019;5;11;12;Enchytraeidae;1;present;
2019;5;12;0;Isopoda;1;present;
2019;5;12;6;Enchytraeidae;1;present;
2019;5;12;18;Collembola;1;present;
2019;5;12;18;Acari;1;present;
2019;5;13;0;Enchytraeidae;2;present;
2019;5;13;0;Collembola;1;present;
2019;5;13;6;Lumbricidae;1;present;
2019;5;13;6;Enchytraeidae;2;present;
2019;5;13;18;Enchytraeidae;2;present;
2019;5;13;18;Lumbricidae;1;present;
2019;5;14;0;Geophilomorpha;1;present;
2019;5;14;0;Enchytraeidae;1;present;
2019;5;14;0;Lumbricidae;1;present;
2019;5;14;0;Collembola;1;present;
2019;5;14;6;Enchytraeidae;1;co-occurs;grass root
2019;5;14;6;Symphyla;1;present;
2019;5;14;6;Geophilomorpha;1;present;
2019;5;14;12;Geophilomorpha;1;present;
2019;5;14;12;Enchytraeidae;2;present;
2019;5;14;18;Enchytraeidae;1;co-occurs;root growth region
2019;5;14;18;Geophilomorpha;1;present;
2019;5;15;0;Geophilomorpha;1;present;
2019;5;15;0;Acari;1;present;
2019;5;15;6;Acari;1;present;
2019;5;15;6;Enchytraeidae;1;co-occurs;root growth region
2019;5;15;6;Enchytraeidae;1;present;
2019;5;15;12;Enchytraeidae;1;present;
2019;5;15;18;Enchytraeidae;2;present;
2019;5;15;18;Acari;1;present;
2019;5;16;12;Symphyla;1;co-occurs;root growth region
2019;5;16;18;Enchytraeidae;1;present;
2019;5;16;18;Symphyla;1;co-occurs;root growth region
2019;5;17;0;Isopoda;1;present;
2019;5;17;0;Acari;1;present;
2019;5;17;0;Symphyla;2;co-occurs;root growth region
2019;5;17;6;Symphyla;1;present;
2019;5;17;6;Acari;1;present;
2019;5;17;12;Isopoda;1;present;
2019;5;17;12;Symphyla;1;present;
2019;5;17;12;Acari;1;present;
2019;5;17;18;Collembola;2;co-occurs;root mature region
2019;5;18;0;Isopoda;1;present;
2019;5;18;0;Acari;1;co-occurs;root growth region
2019;5;18;0;Symphyla;1;present;
2019;5;18;6;Enchytraeidae;1;present;
2019;5;18;6;Symphyla;1;present;
2019;5;18;6;Collembola;1;co-occurs;root growth region
2019;5;18;12;Acari;1;co-occurs;root growth region
2019;5;18;12;Symphyla;1;co-occurs;grass root
2019;5;18;12;Enchytraeidae;2;present;
2019;5;18;18;Isopoda;1;present;
2019;5;18;18;Collembola;1;co-occurs;root growth region
2019;5;19;0;Symphyla;1;present;
